state,city,village,zip
NH,Enfield,Enfield Center,03749
NH,Lyme,Lyme,03768
NH,Lyme,Lyme Center,03769
NH,Cornish,Cornish,03745
NH,Cornish,Cornish Flat,03746
NH,Plainfield,Plainfield,03781
NH,Plainfield,Meriden,03770
NH,Haverhill,Haverhill,03765
NH,Haverhill,North Haverhill,03774
NH,Haverhill,Pike,03780
NH,Haverhill,Woodsville,03785
VT,Bridgewater,Bridgewater,05034
VT,Bridgewater,Bridgewater Corners,05035
VT,Corinth,Corinth,05039
VT,Corinth,East Corinth,05040
VT,Corinth,Topsham,05076
VT,Ryegate,Ryegate,05042
VT,Ryegate,East Ryegate,05042
VT,Ryegate,South Ryegate,05069
VT,Thetford,Thetford,05074
VT,Thetford,East Thetford,05043
VT,Thetford,North Thetford,05054
VT,Thetford,Thetford Center,05075
VT,Thetford,Thetford Hill,05074
VT,Thetford,Post Mills,05058
VT,Hartland,Hartland,05048
VT,Hartland,Hartland Four Corners,05049
VT,Hartland,North Hartland,05052
VT,Pomfret,Pomfret,05053
VT,Pomfret,South Pomfret,05067
VT,Pomfret,North Pomfret,05053
VT,Randolph,Randolph,05060
VT,Randolph,Randolph Center,05061
VT,Randolph,East Randolph,05041
VT,Strafford,Strafford,05072
VT,Strafford,South Strafford,05070
VT,Woodstock,Woodstock,05091
VT,Woodstock,South Woodstock,05071
VT,Woodstock,Taftsville,05073
VT,West Windsor,West Windsor,05089
VT,West Windsor,Brownsville,05037
VT,Springfield,Springfield,05156
VT,Springfield,North Springfield,05150
VT,Weathersfield,Weathersfield,05030
VT,Weathersfield,Ascutney,05030
VT,Weathersfield,Perkinsville,05151
VT,Hartford,Hartford,05047
VT,Hartford,White River Junction,05001
VT,Hartford,Veterans Administration Hospital,05009
VT,Hartford,Wilder,05088
VT,Hartford,West Hartford,05084
VT,Hartford,Quechee,05059
VT,Newbury,Newbury,05051
VT,Newbury,West Newbury,05085
VT,Royalton,Royalton,05068
VT,Royalton,South Royalton,05068
