event_key,name,event_start,event_end,event_type,description,speakers,artists,venue,venue_id,address,media_url,rsvp_url,Cost,Learn more
899,A Time to Be Born - One Day Intensives,5/2/15 8:45,5/2/15 16:15,Parenting,"<p>Saturdays, April 11, May 2, June 6 or July 25<br /><br />This class promotes a positive birth experience by&nbsp;preparing the expectant mother and her support person for the labor and birth&nbsp;process. A variety of comfort techniques will be&nbsp;taught, including relaxation, positions and movement, hydrotherapy, breath awareness, vocalization and touch. This course will also cover the use of medications and what to expect during labor and birth.&nbsp;</p>
<p>Two 15-minute breaks and 45 minutes for lunch will be provided. Participants can go out for lunch on their own or bring a brown bag lunch.<br /><em>Suzanne Greeley, Holly Maher, Kate DalPra, Certified Childbirth Educators&nbsp;</em></p>
<p>Space is limited, so please pre-register by calling&nbsp;(603) 650-2600.</p>
<p>$125 per couple&nbsp;</p>
<p>All classes must be paid for in full one week before they begin, and we are unable to provide refunds for a program after that date.</p>
<p>WHRC reserves the right to cancel any program due to insufficient enrollment.</p>
<p>In case of bad weather, class cancellations will be made on the day of the class: by 2:30 pm for evening classes, and by 8:30 am for daytime classes.</p>
<p>Scholarships are available from donations made to the WHRC FRIENDS program.</p>
<p>Some managed care plans are now offering reimbursement to their subscribers for participation in our health care classes. Call your employer or insurance customer representative to find out if you are eligible.</p>",,,Women's Health Resource Center,615,"9 Hanover St., Lebanon, NH 03766",http://schd.ws/hosted_files/uvwellness2015/8f/WHRCclassesgroups.jpg,http://www.dartmouth-hitchcock.org/womens_resource_ctr.html,,
895,A Time to Be Born - Series,4/27/15 18:00,4/27/15 20:30,Parenting,"<p>Mondays, April 27 to May 18, or June 22 to July 13, 6 to 8:30 pm <br /><br />This class promotes a positive birth experience by preparing the expectant mother and her support person for the labor and birth process. A variety of comfort techniques will be taught, including relaxation, positions and movement, hydrotherapy, breath awareness, vocalization and touch. This course will also cover the use of medications and what to expect during labor and birth. <br /><br />If you are interested in a date later than those listed here, please call WHRC. <br /><br />$125/COUPLE FOR FOUR CLASSES</p>",,,Women's Health Resource Center,615,"9 Hanover St., Lebanon, NH 03766",http://schd.ws/hosted_files/uvwellness2015/8f/WHRCclassesgroups.jpg,http://www.dartmouth-hitchcock.org/womens_resource_ctr.html,,"<a href=""http://www.dartmouth-hitchcock.org/classes_events/arc_eventdetail/72805/"">www.dartmouth-hitchcock.org/classes_events/arc_eventdetail/72805/</a>"
896,A Time to Be Born - Series,5/4/15 18:00,5/4/15 20:30,Parenting,"<p>Mondays, April 27 to May 18, or June 22 to July 13, 6 to 8:30 pm <br /><br />This class promotes a positive birth experience by preparing the expectant mother and her support person for the labor and birth process. A variety of comfort techniques will be taught, including relaxation, positions and movement, hydrotherapy, breath awareness, vocalization and touch. This course will also cover the use of medications and what to expect during labor and birth. <br /><br />If you are interested in a date later than those listed here, please call WHRC. <br /><br />$125/COUPLE FOR FOUR CLASSES</p>",,,Women's Health Resource Center,615,"9 Hanover St., Lebanon, NH 03766",http://schd.ws/hosted_files/uvwellness2015/8f/WHRCclassesgroups.jpg,http://www.dartmouth-hitchcock.org/womens_resource_ctr.html,,
897,A Time to Be Born - Series,5/11/15 18:00,5/11/15 20:30,Parenting,"<p>Mondays, April 27 to May 18, or June 22 to July 13, 6 to 8:30 pm <br /><br />This class promotes a positive birth experience by preparing the expectant mother and her support person for the labor and birth process. A variety of comfort techniques will be taught, including relaxation, positions and movement, hydrotherapy, breath awareness, vocalization and touch. This course will also cover the use of medications and what to expect during labor and birth. <br /><br />If you are interested in a date later than those listed here, please call WHRC. <br /><br />$125/COUPLE FOR FOUR CLASSES</p>",,,Women's Health Resource Center,615,"9 Hanover St., Lebanon, NH 03766",http://schd.ws/hosted_files/uvwellness2015/8f/WHRCclassesgroups.jpg,http://www.dartmouth-hitchcock.org/womens_resource_ctr.html,,
898,A Time to Be Born - Series,5/18/15 18:00,5/18/15 20:30,Parenting,"<p>Mondays, April 27 to May 18, or June 22 to July 13, 6 to 8:30 pm <br /><br />This class promotes a positive birth experience by preparing the expectant mother and her support person for the labor and birth process. A variety of comfort techniques will be taught, including relaxation, positions and movement, hydrotherapy, breath awareness, vocalization and touch. This course will also cover the use of medications and what to expect during labor and birth. <br /><br />If you are interested in a date later than those listed here, please call WHRC. <br /><br />$125/COUPLE FOR FOUR CLASSES</p>",,,Women's Health Resource Center,615,"9 Hanover St., Lebanon, NH 03766",http://schd.ws/hosted_files/uvwellness2015/8f/WHRCclassesgroups.jpg,http://www.dartmouth-hitchcock.org/womens_resource_ctr.html,,
215,Advance Care Planning: Let's Talk About It!,4/16/15 10:00,4/16/15 11:30,Aging well,"<p>Leader: Maria Koehler</p>
<p>If you were unable to speak for yourself, who would make decisions on your behalf? Would they know what type of decisions you would want them making? Would they know your health care goals, values and beliefs? Putting your wishes in writing in the form of an Advance Directive is important, but we need go a step further. Having conversations with your appointed health care agents well in advance of a health care crisis will better prepare them for the future. Please join Maria Koehler of the Office of Care Management and Honoring Care Decisions as we discuss the importance of Advance Directives (AD) and Advance Care Planning (ACP), explain common misconceptions and benefits to advance care planning and provide you with an opportunity to engage in a conversation and complete the AD documents if you are ready.</p>
<p><a href=""https://dhmc.wufoo.com/forms/advance-care-planning/"" target=""_blank"">Register online</a>&nbsp;or by contacting the Aging Resource Center at (603) 653-3460 or&nbsp;<a href=""mailto:AgingCenter@hitchcock.org"" target=""_blank"">AgingCenter@hitchcock.org</a>.</p>
<p>You may view this program VIA LIVE WEB STREAM from any computer with an internet connection, Windows Media Player, Flash Player and audio capabilities. To view the web stream, go to the&nbsp;<a href=""http://video.hitchcock.org/nnegec"" target=""_blank"">Dartmouth-Hitchcock Video Streaming website</a>&nbsp;at the time of the program. If you plan on watching this video via live web stream, registration is NOT necessary.</p>",,,Dartmouth-Hitchcock Aging Resource Center,625,"46 Centerra Parkway, Lebanon NH 03766",http://schd.ws/hosted_files/uvwellness2015/0e/Screen Shot 2015-03-19 at 2.48.31 PM.png,http://www.dartmouth-hitchcock.org/classes_events/arc_eventdetail/72805/,Free,
774,Aging and Driving,5/26/15 10:00,5/26/15 11:30,Aging well,"<p><strong>Registration Required</strong></p>
<p><strong>Leader: Valori Petrin, OTR/L</strong></p>
<p>In this presentation, we will discuss how aging affects driving, describe a screening program that assesses the skills needed to continue to drive safely, and what to do if a person you know is no longer a safe driver.</p>
<p><a href=""https://dhmc.wufoo.com/forms/aging-and-driving/"" target=""_blank"">Register online</a>&nbsp;or by contacting the Aging Resource Center at (603) 653-3460 or&nbsp;<a href=""mailto:AgingCenter@hitchcock.org"" target=""_blank"">AgingCenter@hitchcock.org</a>.</p>
<p>You may view this program VIA LIVE WEB STREAM from any computer with an internet connection, Windows Media Player, Flash Player and audio capabilities. To view the web stream, go to the&nbsp;<a href=""http://video.hitchcock.org/nnegec"" target=""_blank"">Dartmouth-Hitchcock Video Streaming website</a>&nbsp;at the time of the program. If you plan on watching this video via live web stream, registration is NOT necessary.</p>",,,Dartmouth-Hitchcock Aging Resource Center,625,"46 Centerra Parkway, Lebanon NH 03766",http://schd.ws/hosted_files/uvwellness2015/6d/aging.jpeg,http://www.dartmouth-hitchcock.org/classes_events/arc_eventdetail/72886/,,
320,All Levels Yoga with Theresa,4/6/15 17:30,4/6/15 19:00,Yoga,"Movement, breath, alignment.&nbsp; Classic Hatha Yoga designed to accommodate all bodies.&nbsp; A great after work unwind.<br /><br />Fees are $10 per class in a series, paid upfront at the start of the series, which ends April 13.&nbsp;<br /><br />The series will be pro-rated for late joiners.&nbsp; Please note that we cannot give refunds for missed classes, but you are most welcome to make up any missed classes in a series, by attending another day/time with the same teacher.&nbsp;<br /><br />&nbsp;Drop-in fee is $14 /class.",,"Theresa Mundy (yoga, Hanover Yoga)",Hanover Yoga,972,"68 Lyme Road  Hanover, NH  03755",,http://www.hanoveryoga.com/theresa-mundy.html,,
321,All Levels Yoga with Theresa,4/13/15 17:30,4/13/15 19:00,Yoga,"Movement, breath, alignment.&nbsp; Classic Hatha Yoga designed to accommodate all bodies.&nbsp; A great after work unwind.<br /><br />Fees are $10 per class in a series, paid upfront at the start of the series, which ends April 13.&nbsp;<br /><br />The series will be pro-rated for late joiners.&nbsp; Please note that we cannot give refunds for missed classes, but you are most welcome to make up any missed classes in a series, by attending another day/time with the same teacher.&nbsp;<br /><br />&nbsp;Drop-in fee is $14 /class.",,"Theresa Mundy (yoga, Hanover Yoga)",Hanover Yoga,972,"68 Lyme Road  Hanover, NH  03755",,http://www.hanoveryoga.com/theresa-mundy.html,,
816,All Levels Yoga with Theresa,4/27/15 17:30,4/27/15 19:00,Yoga,"Movement, breath, alignment.&nbsp; Classic Hatha Yoga designed to accommodate all bodies.&nbsp; A great after work unwind.<br /><br />Fees are $10 per class in a series, paid upfront at the start of the series, which ends April 13.&nbsp;<br /><br />The series will be pro-rated for late joiners.&nbsp; Please note that we cannot give refunds for missed classes, but you are most welcome to make up any missed classes in a series, by attending another day/time with the same teacher.&nbsp;<br /><br />&nbsp;Drop-in fee is $14 /class.",,"Theresa Mundy (yoga, Hanover Yoga)",Hanover Yoga,972,"68 Lyme Road  Hanover, NH  03755",,http://www.hanoveryoga.com/theresa-mundy.html,,
